Agent,Episode,Reward,Throughput,Energy_Cost,Lateness_Penalty,Completion_Rate
Random,1,-343846.1444746831,573,264.9999999999997,344072.0367925448,0.4029535864978903
Random,2,-435488.8718163269,626,276.6999999999995,435769.5710194895,0.4167776298268975
Random,3,-379016.72932274034,658,252.39999999999975,379367.3371871273,0.4494535519125683
Random,4,-340353.42592070997,593,270.74999999999943,340588.34209093696,0.3860677083333333
Random,5,-412077.01517851243,657,272.0499999999994,412422.2275407485,0.43280632411067194
Random,6,-360762.68564781605,557,260.24999999999966,360986.95301522367,0.3693633952254642
Random,7,-415242.4326116814,677,286.0999999999996,415553.2251916538,0.4546675621222297
Random,8,-438929.0577546705,638,282.94999999999953,439215.93839052296,0.4316644113667118
Random,9,-294489.19481008477,620,258.54999999999944,294771.78478727187,0.41948579161028415
Random,10,-445063.9018913459,628,278.44999999999953,445338.9955472005,0.4091205211726384
Random,11,-442896.47767395596,515,265.6499999999993,443105.1913218798,0.3465679676985195
Random,12,-408282.08688773285,623,264.79999999999944,408567.83489591244,0.42847317744154056
Random,13,-352564.9915737719,526,270.0499999999994,352726.7733258421,0.34926958831341304
Random,14,-384162.09884056746,644,286.4999999999997,384455.9256839242,0.42649006622516555
Random,15,-414508.75431285513,621,270.29999999999944,414812.1680602254,0.40194174757281553
Random,16,-445900.6212694904,695,277.9999999999992,446265.10275575216,0.4575378538512179
Random,17,-431608.71677095623,623,261.8499999999997,431889.6847310106,0.40271493212669685
Random,18,-407923.7510571404,549,272.4499999999993,408131.0979080362,0.35765472312703583
Random,19,-339535.3294430601,551,247.94999999999985,339786.66900295357,0.3858543417366947
Random,20,-417606.255134653,615,255.9999999999999,417901.37893863005,0.4186521443158611
FIFO,1,729.6351582183767,1418,316.6999999999998,362.87624638416014,0.9964862965565706
FIFO,2,741.0201656510473,1491,327.4999999999998,413.14975673561247,0.9966577540106952
FIFO,3,254.13189170773597,1523,327.24999999999983,932.2174949430334,0.9973804846103471
FIFO,4,582.4112500305267,1509,330.7999999999998,586.5509835613507,0.99867637326274
FIFO,5,997.0031346122116,1541,326.3999999999997,209.63365850728,0.9954780361757106
FIFO,6,834.065694859788,1505,325.89999999999986,336.3462807452837,0.9986728599867286
FIFO,7,540.4869855541659,1471,323.09999999999974,599.0034712546333,0.9979647218453188
FIFO,8,605.2349564279579,1456,325.84999999999985,515.8836665941782,0.9958960328317373
FIFO,9,931.4886019913032,1543,327.3499999999999,275.7836403075513,1.0
FIFO,10,943.836703808323,1531,325.3499999999998,253.2446475192545,0.9993472584856397
FIFO,11,803.9892964368648,1489,323.44999999999993,353.30129447441016,0.9993288590604027
FIFO,12,788.0419988909232,1471,323.7999999999997,349.87352149241707,0.9966124661246613
FIFO,13,888.0915554199524,1487,322.6999999999998,267.0999634715387,0.9993279569892473
FIFO,14,808.8475092079137,1471,327.39999999999975,325.7181036038349,0.9979647218453188
FIFO,15,712.7932132219393,1471,323.54999999999984,425.6209742157825,0.9932478055367995
FIFO,16,895.7617747695699,1597,320.74999999999983,372.68240408099683,1.0
FIFO,17,644.7285086366414,1540,326.2999999999998,560.6856606541576,0.9974093264248705
FIFO,18,853.8510491649693,1507,332.2999999999998,311.2245032093599,0.9993368700265252
FIFO,19,875.4449111642516,1510,333.7999999999997,291.3433602863403,1.0
FIFO,20,839.5878385574701,1483,325.69999999999993,308.9587758491818,0.994634473507713
PPO,1,932.4934387657181,1574,326.94999999999976,306.4881099143637,0.9993650793650793
PPO,2,838.3875754049068,1497,329.1499999999998,319.89921211145304,0.998
PPO,3,828.0259969251538,1531,330.1499999999998,363.9045717621674,0.9980443285528031
PPO,4,691.3321630906955,1490,328.89999999999986,460.4081569839163,0.9979906229068989
PPO,5,857.8985030970099,1474,320.6999999999998,287.2129421284883,0.997968855788761
PPO,6,586.6930972380666,1529,322.44999999999976,610.9519710131423,0.9986936642717178
PPO,7,896.0088792499456,1437,332.5499999999997,197.94048728578593,0.9986101459346769
PPO,8,571.0568892819949,1546,324.69999999999993,642.201841216382,0.9993535875888817
PPO,9,793.0196960721667,1538,338.39999999999975,397.5273040085126,0.9967595593000648
PPO,10,826.3006606071395,1480,324.1499999999999,320.1345485404975,0.9946236559139785
PPO,11,877.037504901891,1541,325.64999999999975,328.9720514668047,0.9993514915693904
PPO,12,722.0600452869933,1484,333.14999999999975,419.42874822191857,0.9986541049798116
PPO,13,511.40713728355803,1497,316.9999999999999,659.8725782508188,0.9986657771847899
PPO,14,581.1778200348665,1476,327.7999999999997,558.2055348878,0.9959514170040485
PPO,15,918.0655016109163,1476,327.1999999999999,221.03294555407786,0.9979716024340771
PPO,16,744.4112979984376,1533,319.5499999999999,460.707646101113,0.9967490247074122
PPO,17,620.2564474085626,1503,324.99999999999983,549.072164007843,0.998671096345515
PPO,18,585.081579344718,1481,315.2,572.5244582924433,0.9973063973063973
PPO,19,908.2659835997321,1501,327.7499999999998,255.9704423064091,0.9980053191489362
PPO,20,830.0702200621259,1468,334.3999999999998,294.3088280781982,0.998639455782313
